fips,series_complete_pop_pct,date
31161,24,07/04/2021
17169,44.6,07/04/2021
37071,33,07/04/2021
16049,22.4,07/04/2021
46085,45.6,07/04/2021
48433,0,07/04/2021
47039,26.9,07/04/2021
08077,28.5,07/04/2021
05039,36.4,07/04/2021
56029,35.4,07/04/2021
51143,17.9,07/04/2021
72081,66.4,07/04/2021
51025,26.8,07/04/2021
20021,30.2,07/04/2021
12057,41.5,07/04/2021
01111,22.8,07/04/2021
29137,32.8,07/04/2021
31147,40.4,07/04/2021
37037,44.2,07/04/2021
51017,14.9,07/04/2021
20087,40.2,07/04/2021
39123,48,07/04/2021
17189,40.1,07/04/2021
21123,33.1,07/04/2021
08039,23.5,07/04/2021
21215,19.7,07/04/2021
29175,24.5,07/04/2021
13065,21.4,07/04/2021
39033,35.1,07/04/2021
31021,45,07/04/2021
40005,25.1,07/04/2021
01125,29.3,07/04/2021
36111,56.1,07/04/2021
55005,42,07/04/2021
48079,0,07/04/2021
27069,44.4,07/04/2021
40121,30.7,07/04/2021
39131,32.7,07/04/2021
41035,37.5,07/04/2021
26015,37.9,07/04/2021
51650,31.3,07/04/2021
31151,35.3,07/04/2021
23013,67.9,07/04/2021
47085,27.9,07/04/2021
12113,33.1,07/04/2021
46135,50.7,07/04/2021
40051,26.4,07/04/2021
72063,46.9,07/04/2021
20187,34.8,07/04/2021
19113,52.9,07/04/2021
50005,30.1,07/04/2021
37031,32.7,07/04/2021
01053,21.3,07/04/2021
02198,43.5,07/04/2021
13123,7.9,07/04/2021
51775,4.4,07/04/2021
48443,0,07/04/2021
30041,41.7,07/04/2021
48039,0,07/04/2021
48481,0,07/04/2021
51027,27.4,07/04/2021
31153,46.5,07/04/2021
34005,56.1,07/04/2021
72145,56.7,07/04/2021
41047,46.6,07/04/2021
54001,5.6,07/04/2021
49033,30.4,07/04/2021
37175,43.2,07/04/2021
39045,43.7,07/04/2021
26145,42.2,07/04/2021
21007,24.5,07/04/2021
22045,28.6,07/04/2021
29225,28.2,07/04/2021
16041,27.2,07/04/2021
26063,44.5,07/04/2021
36045,53.2,07/04/2021
28017,30.8,07/04/2021
21033,36.3,07/04/2021
48083,0,07/04/2021
25007,3.2,07/04/2021
24043,43.7,07/04/2021
17005,36.9,07/04/2021
13159,9.9,07/04/2021
36059,59.3,07/04/2021
40103,43,07/04/2021
55103,46.9,07/04/2021
18139,37.7,07/04/2021
27097,35.8,07/04/2021
41061,35.5,07/04/2021
19143,37.8,07/04/2021
37127,40.5,07/04/2021
51091,48.5,07/04/2021
51031,13.8,07/04/2021
40145,32.3,07/04/2021
37183,52.9,07/04/2021
38029,25.8,07/04/2021
42055,36.2,07/04/2021
02188,42.7,07/04/2021
29027,32.9,07/04/2021
39169,34.4,07/04/2021
26081,47.5,07/04/2021
13073,19.8,07/04/2021
46011,34.8,07/04/2021
31025,45.1,07/04/2021
19033,49.5,07/04/2021
36047,44.9,07/04/2021
48411,0,07/04/2021
30081,38.7,07/04/2021
54037,28.3,07/04/2021
01109,26.3,07/04/2021
22087,30.7,07/04/2021
17019,47,07/04/2021
29081,24.7,07/04/2021
33009,64.1,07/04/2021
21101,34.4,07/04/2021
31125,22.6,07/04/2021
24047,56,07/04/2021
29007,27.2,07/04/2021
17047,28.4,07/04/2021
56007,32.6,07/04/2021
39085,51.8,07/04/2021
56035,23.4,07/04/2021
39039,38.7,07/04/2021
29197,19.5,07/04/2021
48461,0,07/04/2021
30087,57,07/04/2021
29163,27,07/04/2021
47177,27.4,07/04/2021
45083,29.9,07/04/2021
27033,43.7,07/04/2021
20195,29.3,07/04/2021
21193,42.5,07/04/2021
26115,34.9,07/04/2021
38089,25.7,07/04/2021
26143,45.8,07/04/2021
22075,39.1,07/04/2021
48033,0,07/04/2021
13193,10.5,07/04/2021
13215,24.8,07/04/2021
53003,30.8,07/04/2021
53009,54.8,07/04/2021
54009,17.8,07/04/2021
41051,63.6,07/04/2021
54017,3.3,07/04/2021
08121,15.9,07/04/2021
13313,13.9,07/04/2021
51077,18.5,07/04/2021
48391,0,07/04/2021
26089,69.3,07/04/2021
36097,50.6,07/04/2021
46067,34.6,07/04/2021
12027,31.3,07/04/2021
08013,48.7,07/04/2021
04001,58.3,07/04/2021
04007,44.9,07/04/2021
54007,11.1,07/04/2021
48221,0,07/04/2021
48437,0,07/04/2021
17103,39.4,07/04/2021
41043,42.2,07/04/2021
48257,0,07/04/2021
21035,34.2,07/04/2021
47157,35.7,07/04/2021
44003,61.7,07/04/2021
30067,46.8,07/04/2021
01073,38.6,07/04/2021
51007,1.5,07/04/2021
55021,52.5,07/04/2021
01085,30.6,07/04/2021
05101,21.8,07/04/2021
27173,45.2,07/04/2021
01035,26.4,07/04/2021
24013,57.7,07/04/2021
38027,41.7,07/04/2021
41067,59.5,07/04/2021
48137,0,07/04/2021
48501,0,07/04/2021
38011,29,07/04/2021
51083,15,07/04/2021
02110,59.9,07/04/2021
53057,51.7,07/04/2021
47161,28.6,07/04/2021
55041,46.2,07/04/2021
17067,34.4,07/04/2021
24035,52.4,07/04/2021
29005,42.4,07/04/2021
20077,35.4,07/04/2021
13201,9.4,07/04/2021
29205,34.8,07/04/2021
26051,39,07/04/2021
50021,57.3,07/04/2021
72003,50.3,07/04/2021
48451,0,07/04/2021
32017,28.3,07/04/2021
28005,23.8,07/04/2021
29125,26.1,07/04/2021
45079,41.4,07/04/2021
48091,0,07/04/2021
05029,36.9,07/04/2021
05137,27.3,07/04/2021
48003,0,07/04/2021
